,Sustainability Dimension,Subcategory,Parameter,T1,T2,T3
0,Cultural Viability,Cultural Heritage,"Heritage community resilience (Integration of ""new"" communities)",1.5,6.8,6.4
1,Cultural Viability,Cultural Heritage,Shared values (political compass approach),4.9,3.5,6.8
2,Cultural Viability,Food Provisioning,Alternative Food Networks ,8.7,6.5,9.1
3,Cultural Viability,Food Provisioning,Self provisioning (vs. Conventional Food Provisioning),3.8,6.2,3.9
4,Social Viability,Internal Governance ,Bottom-Up (vs. Top-Down),3.2,2.2,5.6
5,Social Viability,Infrastructure ,Vehicle transport ,6.3,5.5,10.0
6,Social Viability,Infrastructure ,Housing availability,0.9,2.8,7.2
7,Social Viability,Infrastructure ,Public Services,3.0,3.9,5.5
8,Social Viability,Legal ownership,Agency,5.6,5.6,9.2
9,Social Viability,Ownership,Collective (vs. Private) ,7.1,5.4,6.2
10,Social Viability,Health and Wellbeing,Unemployment rate,1.3,2.4,6.9
11,Social Viability,Health and Wellbeing,Education,1.9,2.4,3.5
12,Economic Viability,Local Prosperity,Income diversification through (other commercial activities),8.1,3.6,8.7
13,Economic Viability,Local Prosperity,Attraction of new businesses ,8.9,1.6,3.7
14,Economic Viability,External Governance,Subsidies ,9.6,8.4,9.1
15,Economic Viability,External Governance ,Zoning Plans ,1.5,7.1,7.3
16,Economic Viability,Ownership,Land Prices ,6.3,5.5,9.7
17,Economic Viability,Ownership,Land Availability,4.9,2.0,3.5
18,Ecologic Viability,Flourishing Ecosystems,Nitrogen deposition,4.1,8.6,4.0
19,Ecologic Viability,Flourishing Ecosystems ,Biodiversity ,1.9,7.7,8.4
20,Ecologic Viability,Farming practices,Transformative farm practices,1.1,8.3,4.8
21,Ecologic Viability,Farming practices,Extensification of farming practices,0.5,0.5,3.3
22,Ecologic Viability,Resource Use,Land use change flexibility,8.2,0.9,9.5
23,Ecologic Viability,Resource Use,Positive (vs negative) resource use ,5.9,4.5,1.1
24,Fundamental/Elementary Viability,Basic Infrastructure,Energy service,7.2,3.1,3.8
25,Fundamental/Elementary Viability,Basic Infrastructure ,Water service,4.5,3.4,4.5
26,Fundamental/Elementary Viability,External governance,Medical service,2.2,8.8,9.7
27,Fundamental/Elementary Viability,Security,Police service,8.3,6.2,0.1
